Producto,Precio
Aceite (und.),1753
Aceituna 340gr,1900
Aji crema 240 grs,1000
Ajo polvo (und.) 50 grs,400
Arroz (kg.),1373
Arvejitas (tarros),482
Arvejas (kg.),2110
Azúcar (kg.),1186
Atún (tarro),1073
Bolsa basura (paq.),785
Café (tarros),6036
Cabello ángel (und.),966
Caldo Maggi Carne (12und),1590
Caldo Maggi Gallina (12und),1587
Caldo Maggi Verdura (12 und),1088
Cebolla (kg),995
Cera piso roja (und),2500
Cera piso liquida(und.),1342
Cif crema (und.),1800
Cloro 1 lts ( und),695
Comino (und.),500
Corbata (und.),965
Crema de esparrago 68grs,672
Crema (tarros),1279
Choclo (tarros),1878
Detergente 800 grs (und.),2400
Durazno 880 grs(tarro),1777
Espirales (und.),965
Escobillón (und.),1600
Esponjas amarilla (und),296
Fósforos (paq.x10),1800
Frutilla 420 gr (tarro),1900
Guantes cocina (und.),1190
Harina (Saco) 25 kg,18491
Harina (5kg),4687
Huevos (und.),277
Jabón cara (und.),427
Jabon de ropa Popeye (und.),1054
Jugo Limón 500 ml (und.),730
Jugo (und.),130
Jalea (und.),790
Jurel (tarros),1067
Lavaloza 500 ml.(und.),1701
Leche Condensada (tarro),1332
Leche en polvo (900 grs),7620
Lentejas (kg),1766
Levadura (und.),2050
Manteca (und),4818
Mantequilla (und.),2476
Manzana (kg),1389
Mayonesa (500cc),1412
Mermelada (und.),690
Naranja (kg),2589
Orégano 100 grs. (und.),200
Paño Multiuso (und.),1100
Paño de cocina (und.),953
Paño para trapear (und.),1066
Papas (kg.),675
Papel higiénico (und.),780
Pasta de Dental ( und),1400
Pimiento Morron 210 gr,961
Pimentón (und.),400
Polvo de hornear (tarros),2000
Pollo entero (2 kg app),6301
Porotitos verdes (tarros),1200
Porotos (kg.),2000
Quaker,2025
Sal (kg.),608
Salsa Tomate (und.),586
Sémola (und.),1191
Shampo  1 lts ( und. ),1663
Sopas Caracolitos (und),535
Sopa Costilla (und),555
Sopa Pollo / Fideos (und),543
Sopa Pollo /Arroz,300
Tallarines (und.),1113
Te (cajitas),800
Vinagre (und.),760
Virutilla de olla ( und. ),588
Virutilla piso (und.),700
Yerba (kg.),4187
Zanahoria (kg.),1289
Zapallo kg,1489
